CAMERA_SHAKE	$s:8D1C	5500	0	-23750	#BBF9B6	sub_69D4	5000	0
WATCHER	$s:1465	0	30000	0	#8B999A	sub_7ECA	b:33	0
WATCHER	$s:1466	0	30000	0	#8B999A	sub_7ECB	b:54	0
WATCHER	$s:1467	19250	0	-6000	#8B999A	sub_7ECC	b:53	0
WATCHER	$s:1467	19250	0	-6000	#8B999A	sub_7ECC	b:52	0
CAMERA	$s:DD6D	-11000	7000	-10000	#B2F6A1	sub_8B69	[256, 512, 0]	0
CAMERA	$s:DD6E	11200	7000	-9300	#B2F6A1	sub_8B6A	[484, 3456, 0]	0
CAMERA	$s:DD6F	21200	7000	-2200	#B2F6A1	sub_8B6B	[256, 3584, 0]	0
ITEM	$s:EEBA	-8500	0	-7500	#929D77	<script>		0
ITEM	$s:EEC1	-13000	0	1000	#929D77	<script>		0
WALL	$s:993E	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:993E	0	0	0	#6DE680	<script>	[0, 0, 0]	0
DYNWALL	$s:8C3B	3000	0	-23750	#B06DCD	<script>		0
WALL	$s:50EF	0	0	0	#6DE680	<script>	[0, 0, 0]	0
$s:03D9	$s:50F0	5500	0	-23750	#7D82C1	<script>	-1250	0
$s:DD8B	$s:3EAD	-9375	250	1000	#895A5B	<script>		0
$s:DD8B	$s:3EAE	-11625	250	7000	#895A5B	<script>		0
$s:DD8B	$s:3EAF	11625	250	7000	#895A5B	<script>		0
$s:DD8B	$s:3EB0	11625	250	1000	#895A5B	<script>		0
$s:E253	$s:7858	-3831	1456	-11000	#A795BC	<script>	$s:FDDF	0
DOOR	$s:FDDF	-2500	0	-10250	#8BCF66	<script>	[0, 0, 0]	0
DOOR	$s:50EA	12250	0	-7000	#8BCF66	<script>	[0, 3072, 0]	0
DOOR	PCX_DOOR2	12750	4250	-7500	#8BCF66	<script>	[0, 3072, 0]	0
DOOR	$s:50ED	-12750	4250	-3500	#8BCF66	<script>	[0, 1024, 0]	0
DOOR	$s:50EE	12750	4250	0	#8BCF66	<script>	[0, 3072, 0]	0
ITEM	$s:EEBA	20500	0	-6000	#929D77	<script>		0
ITEM	$s:EEBA	20500	0	-7500	#929D77	<script>		0
ITEM	$s:EEBA	20500	0	-6000	#929D77	<script>		0
ITEM	$s:EEBA	20500	4250	-8000	#929D77	<script>		0
ITEM	$s:EEBA	20500	4250	-5000	#929D77	<script>		0
ITEM	$s:EEBA	-20000	4250	-2500	#929D77	<script>		0
ITEM	$s:EEBA	-20000	4250	-4000	#929D77	<script>		0
ITEM	$s:EEBA	20500	4250	1500	#929D77	<script>		0
ITEM	$s:EEBA	20500	4250	1500	#929D77	<script>		0
ITEM	$s:EEBA	20500	4250	1500	#929D77	<script>		0
