OTACOM	$s:3D2C	3500	0	7875	#74DDDB	sub_EA37	["sub_3ABF", "sub_1416", "sub_1417"]	0
NINJA_D8DD	NINJA	3500	0	7875	#A685F7	sub_0C0C	["sub_3ABF", "sub_12C4", "sub_1417", "sub_4E37"]	0
NINJA_D8DD	NINJA	3500	0	7875	#A685F7	sub_0C0C	["sub_3ABF", "sub_12C4", "sub_1417", "sub_4E37"]	0
OTACOM	$s:3D2C	-5500	0	2500	#74DDDB	sub_507B	["sub_AA59", "sub_1414", "sub_1415"]	0
$s:F74B	$s:F74B	500	250	-4000	#708B6A	<script>		0
DYNWALL	$s:6F65	4375	0	-6000	#B06DCD	<script>		0
DOOR	$s:3A1E	4500	0	-125	#8BCF66	<script>	[0, 0, 0]	0
DOOR	$s:A996	-4000	0	1875	#8BCF66	<script>	[0, 2048, 0]	0
DOOR	$s:7F91	4250	0	-4500	#8BCF66	<script>	[0, 1024, 0]	0
DOOR	$s:1493	2875	0	7000	#8BCF66	<script>	[0, 3072, 0]	0
ITEM	$s:EEBA	-4500	0	5500	#929D77	<script>		0
$s:A9C5	$s:ADEB	4000	3000	-7500	#C595BB	<script>	[200, 0, 0]	0
OTACOM	$s:3D2C	3500	0	7875	#74DDDB	sub_EA37	["sub_3ABF", "sub_1416", "sub_1417"]	1
NINJA_D8DD	NINJA	3500	0	7875	#A685F7	sub_0C0C	["sub_3ABF", "sub_12C4", "sub_1417", "sub_4E37"]	1
NINJA_D8DD	NINJA	3500	0	7875	#A685F7	sub_0C0C	["sub_3ABF", "sub_12C4", "sub_1417", "sub_4E37"]	1
OTACOM	$s:3D2C	-5500	0	2500	#74DDDB	sub_507B	["sub_AA59", "sub_1414", "sub_1415"]	1
$s:F74B	$s:F74B	500	250	-4000	#708B6A	<script>		1
DYNWALL	$s:6F65	4375	0	-6000	#B06DCD	<script>		1
DOOR	$s:3A1E	4500	0	-125	#8BCF66	<script>	[0, 0, 0]	1
DOOR	$s:A996	-4000	0	1875	#8BCF66	<script>	[0, 2048, 0]	1
DOOR	$s:7F91	4250	0	-4500	#8BCF66	<script>	[0, 1024, 0]	1
DOOR	$s:1493	2875	0	7000	#8BCF66	<script>	[0, 3072, 0]	1
ITEM	$s:EEBA	-4500	0	5500	#929D77	<script>		1
$s:A9C5	$s:ADEB	4000	3000	-7500	#C595BB	<script>	[200, 0, 0]	1
