BLINK_TX	$s:A3AB	-14000	3000	4900	#A8F983	sub_CED0		0
WALL	$s:76AE	-16000	1500	4000	#6DE680	<script>	[0, 1024, 0]	0
WALL	$s:76AF	-20000	1500	-10000	#6DE680	<script>	[0, 1024, 0]	0
WALL	$s:76B0	-14000	1500	-20000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:76B1	-2000	1500	-20000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:76B2	10000	1500	-22000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:76B3	22000	1500	-14000	#6DE680	<script>	[0, 3072, 0]	0
WALL	$s:76B4	20000	1500	0	#6DE680	<script>	[0, 3072, 0]	0
WALL	$s:1971	-19000	0	1000	#6DE680	<script>	[0, 1024, 0]	0
WALL	$s:1972	-23000	0	-13000	#6DE680	<script>	[0, 1024, 0]	0
WALL	$s:4359	-23000	0	-13000	#6DE680	<script>	[0, 1024, 0]	0
WALL	$s:1974	1000	0	-23000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:435B	1000	0	-23000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:1975	13000	0	-25000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:435C	13000	0	-25000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:1976	25000	0	-11000	#6DE680	<script>	[0, 3072, 0]	0
WALL	$s:435D	25000	0	-11000	#6DE680	<script>	[0, 3072, 0]	0
WALL	$s:1977	23000	0	3000	#6DE680	<script>	[0, 3072, 0]	0
WALL	$s:435E	23000	0	3000	#6DE680	<script>	[0, 3072, 0]	0
ITEM	$s:A8AC	-8000	0	22000	#929D77	<script>		0
ITEM	$s:A8AD	14000	0	18000	#929D77	<script>		0
ITEM	$s:A8AE	19000	0	21000	#929D77	<script>		0
ITEM	$s:A8AF	-18290	1500	-4672	#929D77	<script>		0
ITEM	$s:EEBA	-20500	1500	-450	#929D77	<script>		0
ITEM	$s:A89C	-20500	1500	1750	#929D77	<script>		0
ITEM	$s:13F6	-20500	1500	2700	#929D77	<script>		0
ITEM	$s:A89D	-23500	1500	-15000	#929D77	<script>		0
ITEM	$s:A89E	-25000	1500	-14000	#929D77	<script>		0
ITEM	$s:A89F	-25000	1500	-12000	#929D77	<script>		0
ITEM	$s:A8A0	-23500	1500	-11000	#929D77	<script>		0
