DYNWALL	$s:4F33	-5875	1500	9000	#B06DCD	sub_FA51		0
WALL	$s:40FC	0	0	0	#6DE680	sub_78A0	[0, 0, 0]	0
WALL	$s:40FC	0	0	0	#6DE680	sub_F874	[0, 0, 0]	0
WALL	$s:40FC	0	0	0	#6DE680	sub_06CB	[0, 0, 0]	0
CAMERA	$s:DD6E	-5250	4500	8875	#B2F6A1	sub_615D	[256, 1024, 0]	0
CAMERA	$s:DD6F	5250	4500	9125	#B2F6A1	sub_615E	[256, 3072, 0]	0
CAMERA	$s:DD72	-7150	4500	10500	#B2F6A1	sub_615F	[125, 1536, 0]	0
DYNWALL	$s:3979	-1510	1500	7500	#B06DCD	sub_C2E7		0
DYNWALL	$s:397A	-1000	1500	8050	#B06DCD	sub_C2E7		0
DYNWALL	$s:397B	1000	1500	8050	#B06DCD	sub_C2E7		0
WALL	$s:EB35	-1000	2500	6875	#6DE680	<script>	[0, -512, 0]	0
WALL	$s:0B35	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:3333	0	2500	7000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:5332	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:9418	1000	2500	6875	#6DE680	<script>	[0, 512, 0]	0
WALL	$s:B417	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:EB35	-1000	1950	6875	#6DE680	<script>	[0, -512, 0]	0
WALL	$s:4B60	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:3333	0	2500	7000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:5332	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:9418	1000	2500	6875	#6DE680	<script>	[0, 512, 0]	0
WALL	$s:B417	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:EB35	-1000	1950	6875	#6DE680	<script>	[0, -512, 0]	0
WALL	$s:4B60	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:3333	0	1950	7000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:4080	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:9418	1000	2500	6875	#6DE680	<script>	[0, 512, 0]	0
WALL	$s:B417	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:EB35	-1000	1950	6875	#6DE680	<script>	[0, -512, 0]	0
WALL	$s:4B60	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:3333	0	1950	7000	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:4080	0	0	0	#6DE680	<script>	[0, 0, 0]	0
WALL	$s:9418	1000	1950	6875	#6DE680	<script>	[0, 512, 0]	0
WALL	$s:D603	0	0	0	#6DE680	<script>	[0, 0, 0]	0
ITEM	$s:EEBA	4500	1500	11000	#929D77	<script>		0
ITEM	$s:EEBB	-7000	1500	11000	#929D77	<script>		0
DOOR	HASH_POOL	-5750	1500	9000	#8BCF66	<script>	0	0
DOOR	HASH_POOL	-5750	1500	9000	#8BCF66	<script>	0	0
DYNWALL	$s:6F65	-5250	-2000	6750	#B06DCD	<script>		0
DYNWALL	$s:6F65	-5250	-2000	5250	#B06DCD	<script>		0
DYNWALL	$s:6F65	-10000	-2000	5250	#B06DCD	<script>		0
DYNWALL	$s:6F65	-10000	-2000	10000	#B06DCD	<script>		0
CAMERA	$s:DD6E	-5250	4500	8875	#B2F6A1	sub_615D	[256, 1024, 0]	1
CAMERA	$s:DD6F	5250	4500	9125	#B2F6A1	sub_615E	[256, 3072, 0]	1
CAMERA	$s:DD72	-7150	4500	10500	#B2F6A1	sub_615F	[125, 1536, 0]	1
DYNWALL	$s:3979	-1510	1500	7500	#B06DCD	sub_C2E7		1
DYNWALL	$s:397A	-1000	1500	8050	#B06DCD	sub_C2E7		1
DYNWALL	$s:397B	1000	1500	8050	#B06DCD	sub_C2E7		1
DOOR	HASH_POOL	-5750	1500	9000	#8BCF66	<script>	0	1
DOOR	HASH_POOL	-5750	1500	9000	#8BCF66	<script>	0	1
